coordinates,tarif,accessibilite_pmr,indications_localisation,type,horaires,relais_bebe,commune,code_postal,departement,code_departement,latitude,longitude
"[48.9181100160745, 2.31608606424986]",Gratuit,Oui,pas d'info,Toilettes publiques (Toilettes assises),pas d'info,pas d'info,Asnières-sur-Seine,92004,Hauts-de-Seine,92,48.9181100160745,2.31608606424986
"[48.820810050002, 2.31353327195032]",pas d'info,Oui,pas d'info,Toilettes publiques,pas d'info,pas d'info,Montrouge,92049,Hauts-de-Seine,92,48.820810050002,2.31353327195032
"[48.6750845748214, 2.20261194355626]",pas d'info,pas d'info,pas d'info,Toilettes publiques,pas d'info,pas d'info,Les Ulis,91692,Essonne,91,48.6750845748214,2.20261194355626
"[48.8236824954312, 2.38688849863233]",pas d'info,Oui,Leroy Merlin Ivry-sur-Seine,Toilettes dans un bâtiment recevant du public,Mo-Su 09:00-20:00,pas d'info,Ivry-sur-Seine,94041,Val-de-Marne,94,48.8236824954312,2.38688849863233
"[48.861884592124, 2.34454716279919]",Gratuit,Oui,pas d'info,Toilettes publiques (Toilettes assises),pas d'info,Oui,Paris,75056,Paris,75,48.861884592124,2.34454716279919
"[48.8606240911762, 2.33268984540965]",pas d'info,Oui,pas d'info,Toilettes publiques,pas d'info,pas d'info,Paris,75056,Paris,75,48.8606240911762,2.33268984540965
"[48.8992889997173, 2.3405384]",Gratuit,Oui,pas d'info,Toilettes publiques (Toilettes assises),24/7,pas d'info,Paris,75056,Paris,75,48.8992889997173,2.3405384
"[48.8909691997194, 2.3772457]",Gratuit,Oui,pas d'info,Toilettes publiques (Toilettes assises),6:00-22:00,pas d'info,Paris,75056,Paris,75,48.8909691997194,2.3772457
"[48.8332144, 2.3333365]",Gratuit,Non,"Station RER B - Denfert-Rochereau - Sur le quai ligne B, en direction de Saint-Rémy-Lès-Chevreuse.",Toilette publique  RATP_x000D_,pas d'info,pas d'info,Paris,75056,Paris,75,48.8332144,2.3333365
"[48.84436, 2.37291]",Gratuit,Oui,"Station RER A - Gare de Lyon - A proximité du haut de l'escalator menant vers la tête de quai, direction Paris.",Toilette publique  RATP_x000D_,pas d'info,pas d'info,Paris,75056,Paris,75,48.84436,2.37291
"[48.8484803444062, 2.39676520957729]",Gratuit,Oui,"Station RER A - Nation - En allant des quais du RER vers les quais de la ligne 1, 2 et 6, en bas des escalators.",Toilette publique  RATP_x000D_,pas d'info,pas d'info,Paris,75056,Paris,75,48.8484803444062,2.39676520957729
"[48.901251906231444, 2.21599944]",Gratuit,Oui,"Station RER A - Nanterre - Universite - A l'extérieur, sur le parvis",Toilette publique  RATP_x000D_,pas d'info,pas d'info,Nanterre,92050,Hauts-de-Seine,92,48.901251906231444,2.21599944
"[48.8293079997346, 2.3652192]",Gratuit,Oui,pas d'info,Toilettes publiques (Toilettes assises),24/7,pas d'info,Paris,75056,Paris,75,48.8293079997346,2.3652192
"[48.8881778997201, 2.3737438]",Gratuit,Oui,pas d'info,Toilettes publiques (Toilettes assises),pas d'info,pas d'info,Paris,75056,Paris,75,48.8881778997201,2.3737438
"[48.6353425997827, 2.3066757]",Gratuit,pas d'info,pas d'info,Toilettes publiques,pas d'info,pas d'info,Saint-Michel-sur-Orge,91570,Essonne,91,48.6353425997827,2.3066757
"[48.8635787997261, 1.7927137]",pas d'info,pas d'info,pas d'info,Toilettes publiques,pas d'info,pas d'info,Thoiry,78616,Yvelines,78,48.8635787997261,1.7927137
"[48.8398256997321, 2.2298491]",Gratuit,pas d'info,pas d'info,Toilettes publiques,pas d'info,pas d'info,Boulogne-Billancourt,92012,Hauts-de-Seine,92,48.8398256997321,2.2298491
"[48.4258497998344, 2.9277447]",Gratuit,Oui,pas d'info,Toilettes publiques (Toilettes assises),pas d'info,pas d'info,Forges,77194,Seine-et-Marne,77,48.4258497998344,2.9277447
"[48.8055151997406, 2.4968445]",Gratuit,pas d'info,pas d'info,Toilettes publiques,pas d'info,pas d'info,Saint-Maur-des-Fossés,94068,Val-de-Marne,94,48.8055151997406,2.4968445
"[48.8461068997305, 2.3765509]",Gratuit,Oui,pas d'info,Toilettes publiques (Toilettes assises),pas d'info,pas d'info,Paris,75056,Paris,75,48.8461068997305,2.3765509
"[48.3192127998606, 2.993449]",pas d'info,pas d'info,pas d'info,Toilettes publiques,pas d'info,pas d'info,Montmachoux,77313,Seine-et-Marne,77,48.3192127998606,2.993449
"[48.8662566997255, 2.3650028]",Gratuit,Oui,pas d'info,Toilettes publiques,pas d'info,pas d'info,Paris,75056,Paris,75,48.8662566997255,2.3650028
